formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded,Model_Predicted_BG,Error
AcAlO3,3.85863387,3.85863387,3.85863387,4.1024,1.26,0.675,1.26,1.1,1.61,3.44,0.35,0.432835,1.461112979,0.921022335,0.535714286,57.45141324,8.728230082,1.83,0.535714286,0.0,0.605814008,-1.812140638,-0.030884619,1,Other,1,1,1.594891639242843,-2.507508360757157
AcBO3,3.721668,3.721668,3.721668,0.8071,1.26,0.41,1.26,1.1,2.04,3.44,0.35,0.27972325,1.461112979,1.067172586,0.325396825,51.54812641,9.206878606,1.4,0.325396825,0.0,0.655801084,-1.935352655,-0.00023025,1,Other,1,1,1.6039028907542596,0.7968028907542596
AcCrO3,3.9442869,3.94430226,3.9442715,2.0031,1.26,0.94,1.26,1.1,1.66,3.44,0.35,0.67592827,1.461112979,0.810081008,0.746031746,61.36284504,8.848788047,1.78,0.746031746,3.9e-06,0.602901702,-1.735085537,-0.050059053,1,Other,1,1,1.9646309020956247,-0.03846909790437514
AcFeO3,3.95356962,3.9535675,3.95358451,0.9888,1.26,0.8525,1.26,1.1,1.83,3.44,0.35,0.15323635,1.461112979,0.843634659,0.676587302,61.79731063,8.889999466,1.61,0.676587302,2.34e-06,0.584359203,-1.726736569,-0.052128593,1,Other,1,1,1.6250838500366778,0.6362838500366778
AcGaO3,3.94626209,3.94626209,3.94626209,2.8959,1.26,0.76,1.26,1.1,1.81,3.44,0.35,0.30116615,1.461112979,0.882266444,0.603174603,61.45507829,9.314495003,1.63,0.603174603,0.0,0.575304774,-1.733311878,-0.050496715,1,Other,1,1,1.610055156802451,-1.285844843197549
AcScO3,4.125046,4.125046,4.125046,3.3847,1.26,0.885,1.26,1.1,1.36,3.44,0.35,0.17938023,1.461112979,0.830852316,0.702380952,70.19180131,7.569207409,2.08,0.702380952,0.0,0.518865425,-1.57248111,-0.09051039,1,Other,1,1,1.5842589973870682,-1.8004410026129318
AgAsO3,6.389075483,6.389075483,6.389075851,0.2921,1.086666667,0.66,1.26,1.93,2.18,3.44,1.304473,0.8044863,1.461112979,0.864372152,0.523809524,119.2805516,6.425733028,1.26,0.523809524,3.32e-08,0.265900149,0.464198878,-0.597223357,1,Other,1,1,2.1404485759025182,1.8483485759025182
AgAsO3,7.778960826,7.778960826,5.158002727,0.7378,1.086666667,0.66,1.26,1.93,2.18,3.44,1.304473,0.8044863,1.461112979,0.864372152,0.523809524,304.7254522,5.030528133,1.26,0.523809524,0.219137341,0.104082925,1.298321925,-1.527120851,1,Other,1,1,2.097271307772949,1.359471307772949
AgAuO3,7.28592645,7.28592645,7.28592645,0.2423,1.086666667,1.07,1.26,1.93,2.54,3.44,1.304473,2.30861025,1.461112979,0.712272331,0.849206349,273.4886772,8.569172737,0.9,0.849206349,0.0,0.130330456,1.27098971,-0.797947903,0,Other,1,1,2.265923336583294,2.023623336583294
AgNO3,4.151836391,4.151836044,4.151836391,1.7204,1.086666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.878092344,0.5,66.94305711,4.213744204,0.4,0.5,4.82e-08,0.47144322,-1.548381086,-0.096506338,1,Other,1,1,2.3811703378017692,0.6607703378017693
AgNO3,6.201768483,6.201684965,6.201686928,1.8539,1.086666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.878092344,0.5,125.104504,4.509524595,0.4,0.5,7.69e-06,0.252267899,0.295657263,-0.555317284,1,Other,1,1,2.2521110006095895,0.39821100060958936
AgNO3,6.90205076,7.20285772,10.01382351,2.0089,1.086666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.878092344,0.5,497.8321247,4.532948436,0.4,0.5,0.213487587,0.063394564,1.530077864,0.007603626,1,Other,1,1,2.3301312275798525,0.32123122757985234
AgNO3,7.077779,7.419143,10.226522,2.0027,1.086666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.878092344,0.5,537.0054543,4.202280132,0.4,0.5,0.209659539,0.058770074,1.708899875,-0.0250298,1,Other,1,1,2.3301312275798525,0.32743122757985255
AgPO3,4.050258,5.872686,11.96470882,2.287,1.086666667,0.55,1.26,1.93,2.19,3.44,1.304473,0.74660911,1.461112979,0.916903056,0.436507937,264.7268376,4.687932528,1.25,0.436507937,0.568090962,0.117892716,0.285164822,1.703552099,1,Other,1,1,2.118956408028168,-0.16804359197183194
AgPO3,5.97752081,7.317044275,13.59925276,2.0232,1.086666667,0.55,1.26,1.93,2.19,3.44,1.304473,0.74660911,1.461112979,0.916903056,0.436507937,523.5448041,4.740841827,1.25,0.436507937,0.453920576,0.059611643,1.795366429,1.22729939,1,Other,1,1,2.170886293060065,0.14768629306006487
AgPS3,6.780253846,6.780254284,6.619494314,1.3228,1.086666667,0.55,0.88,1.93,2.19,2.58,1.304473,0.74660911,2.07710426,0.972624735,0.625,222.4638175,3.508777848,0.39,0.625,0.013798019,0.065788359,0.790568293,-0.722729667,1,Other,1,1,2.3623879852684735,1.0395879852684735
AgSbO3,6.365893471,6.365892971,6.365893763,0.1333,1.086666667,0.83,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.794064369,0.658730159,137.6369854,6.698918635,1.39,0.658730159,6.29e-08,0.239089455,0.443344564,-0.592034977,0,Other,1,1,2.2317561626890936,2.0984561626890934
AgSbO3,7.270079791,7.270079791,7.270079791,0.0946,1.086666667,0.83,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.794064369,0.658730159,271.7080679,6.786835394,1.39,0.658730159,1.5e-16,0.121113635,1.256734343,-0.794401257,0,Other,1,1,2.317937353808744,2.2233373538087444
AgSbO3,8.165706637,8.165706637,9.517102341,0.2875,1.086666667,0.83,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.794064369,0.658730159,430.8249683,6.420372778,1.39,0.658730159,0.090553982,0.076382648,2.27701765,-0.675777637,0,Other,1,1,2.4529056828877502,2.16540568288775
AgTeO3,5.461745684,6.91813729,7.39980156,1.1676,1.293333333,1.086666667,1.26,2.1,1.93,3.44,1.9708757,1.304473,1.461112979,0.769496593,0.862433862,274.1800335,6.867123404,1.51,0.862433862,0.153043969,0.144337176,0.471697775,-0.005078086,0,Other,1,1,1.623679067224863,0.45607906722486313
AgTeO3,6.92440761,6.518629494,13.29551785,1.5732,1.293333333,1.086666667,1.26,2.1,1.93,3.44,1.9708757,1.304473,1.461112979,0.769496593,0.862433862,600.036388,6.275713149,1.51,0.862433862,0.426453763,0.065953286,1.80869811,0.807564225,0,Other,1,1,1.4592017587610548,-0.11399824123894509
Al3BC,3.481176444,3.481176444,11.46837206,0.453,0.41,0.3,0.675,2.04,2.55,1.61,0.27972325,1.262122611,0.432835,0.787001777,0.444444444,120.3606472,2.863195326,0.94,0.444444444,0.750606862,0.035447973,-0.883375267,1.939427748,0,Other,1,1,2.18465253608825,1.73165253608825
AlAgO3,4.313100198,5.740123171,10.01382801,0.0622,1.086666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.857671592,0.535714286,247.9195772,4.898784497,1.83,0.535714286,0.443481925,0.128270247,0.025119644,1.141865949,1,Other,1,1,1.8164371674238833,1.7542371674238832
AlAgO3,4.727991,5.293314,9.496944,0.032,1.086666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.857671592,0.535714286,237.6775573,5.109883301,1.83,0.535714286,0.400477404,0.133797678,-0.065537135,0.872195909,1,Other,1,1,1.7216232789528638,1.6896232789528638
AlAgO3,6.049468028,6.049468028,10.846984,0.0481,1.086666667,0.675,1.26,1.93,1.61,3.44,1.304473,0.432835,1.461112979,0.857671592,0.535714286,343.774771,5.299274482,1.83,0.535714286,0.3621359,0.092504477,0.920511151,0.61151173,1,Other,1,1,1.9968404467294674,1.9487404467294673
AlBiO3,3.642762492,3.642762492,12.876102,0.6411,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,147.9710356,6.373232459,1.83,0.535714286,0.793220367,0.209972864,-0.540135134,2.197486539,1,Other,1,1,1.8117982510539754,1.1706982510539754
AlBiO3,3.787194,3.787194,3.787194,1.586,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,54.31911151,8.680681447,1.83,0.535714286,0.0,0.571988408,-1.876406652,-0.014895642,1,Other,1,1,2.028976431101027,0.4429764311010269
AlBiO3,5.094505,7.207137,8.683036793,3.0001,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,284.0844557,6.639249619,1.83,0.535714286,0.257853299,0.10936854,0.64401764,0.433914719,1,Other,1,1,1.9855466260176435,-1.0145533739823567
AlBiO3,5.384863,5.395965,9.424568,0.948,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,273.8452643,6.887493997,1.83,0.535714286,0.3458175,0.113457876,0.206378941,0.580776225,1,Other,1,1,1.958170529507745,1.010170529507745
AlBiO3,5.45999944,5.45999944,5.459999208,2.9779,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,113.6752137,8.296037246,1.83,0.535714286,2.45e-08,0.273321695,-0.371581204,-0.389286737,1,Other,1,1,1.903995233980752,-1.073904766019248
AlBiO3,6.323772693,6.323772693,11.833578,0.7618,1.035,0.675,1.26,2.02,1.61,3.44,0.94236213,0.432835,1.461112979,0.838788198,0.535714286,409.8256907,6.903328623,1.83,0.535714286,0.389821275,0.07581248,1.280377978,0.718296091,1,Other,1,1,1.9595578694378062,1.1977578694378062
AlCoO3,4.846808021,5.366148668,4.936906816,0.8939,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,93.40382959,4.761424852,1.83,0.535714286,0.054953581,0.303260003,-0.718484252,-0.256802737,0,Other,1,1,1.8369597476655544,0.9430597476655543
AlCoO3,4.859753715,5.325595422,4.964776402,0.3481,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,93.2390744,4.769838379,1.83,0.535714286,0.048384866,0.303795869,-0.72408301,-0.253495298,0,Other,1,1,1.8369597476655544,1.4888597476655543
AlCoO3,4.859754,4.877269817,5.186674642,0.0255,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,93.23909211,4.769837474,1.83,0.535714286,0.036968048,0.303795812,-0.853216222,-0.178635138,0,Other,1,1,1.8785661562088392,1.853066156208839
AlCoO3,5.175649032,5.175649032,5.175648975,2.5603,0.768333333,0.675,1.26,1.88,1.61,3.44,0.66225547,0.432835,1.461112979,0.741325517,0.535714286,88.0214769,5.052577293,1.83,0.535714286,6.29e-09,0.321803799,-0.627377654,-0.325646154,0,Other,1,1,1.8600953047870465,-0.7002046952129533
