formula,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
AcAlO3,4.1024,1.26,0.675,1.26,1.1,1.61,3.44,0.35,0.432835,1.461112979,0.9210223347916188,0.5357142857142857,3.85863387,3.85863387,3.85863387,57.4514132376898,8.728230081866649
AcBO3,0.8071,1.26,0.41,1.26,1.1,2.04,3.44,0.35,0.27972325,1.461112979,1.0671725855220255,0.3253968253968253,3.7216679999999993,3.7216679999999993,3.7216679999999993,51.54812640786059,9.206878605801688
AcCrO3,2.0031,1.26,0.94,1.26,1.1,1.66,3.44,0.35,0.67592827,1.461112979,0.8100810081008101,0.7460317460317459,3.9442869,3.94430226,3.9442715,61.36284504026082,8.848788046728616
AcCuO3,0.0,1.26,0.82,1.26,1.1,1.9,3.44,0.35,1.235784,1.461112979,0.8568164508758569,0.6507936507936507,3.91333125,3.91333125,3.91333125,59.92938665681022,9.380470938074591
AcFeO3,0.9887999999999992,1.26,0.8525,1.26,1.1,1.83,3.44,0.35,0.15323635,1.461112979,0.8436346593239207,0.6765873015873016,3.95356962,3.953567500001287,3.953584510001286,61.79731063258672,8.889999465919495
AcGaO3,2.895900000000001,1.26,0.76,1.26,1.1,1.81,3.44,0.35,0.30116615,1.461112979,0.8822664444662288,0.6031746031746031,3.94626209,3.94626209,3.94626209,61.455078293307366,9.31449500321555
AcMgO3,0.0,1.26,0.86,1.26,1.1,1.31,3.44,0.35,-0.42,1.461112979,0.8406501027461237,0.6825396825396826,4.016262,4.016262,4.016262,64.78375373225691,7.671748358584634
AcMnO3,0.0,1.26,0.8775,1.26,1.1,1.55,3.44,0.35,-0.52,1.461112979,0.8337675872850443,0.6964285714285714,3.963021679999999,3.963021679999999,3.963021679999999,62.24139882978788,8.802373253340264
AcNiO3,0.0,1.26,0.74,1.26,1.1,1.91,3.44,0.35,1.1571612,1.461112979,0.8910891089108911,0.5873015873015873,3.87883955,3.87883649,3.87881202,58.35821779959113,9.494942767086055
AcPdO3,0.0,1.26,0.84625,1.26,1.1,2.2,3.44,0.35,0.5621412,1.461112979,0.8461380262655346,0.6716269841269841,4.05520794,4.05520691,4.05520589,66.68667373916479,9.497547055496376
AcScO3,3.3847,1.26,0.885,1.26,1.1,1.36,3.44,0.35,0.17938023,1.461112979,0.830852316000831,0.7023809523809523,4.125046,4.125046,4.125046,70.19180130743561,7.569207408829243
AcSiO3,0.0,1.26,0.54,1.26,1.1,1.9,3.44,0.35,1.38952128,1.461112979,0.99009900990099,0.4285714285714286,3.970175,3.970175,3.970175,62.5790478372491,8.042345508493089
AcTiO3,0.0,1.26,0.8516666666666667,1.26,1.1,1.54,3.44,0.35,0.075545,1.461112979,0.8439675853931091,0.6759259259259259,3.99582001,3.99582001,3.99582001,63.7995700747627,8.403352518165326
AcVO3,0.0,1.26,0.7775000000000001,1.26,1.1,1.63,3.44,0.35,0.527662,1.461112979,0.8746886958634513,0.6170634920634921,3.96789433,3.96789746,3.96789433,62.47131331416277,8.6637462299545
Ag3SBr,0.2964,0.8825000000000001,0.88,1.086666666666667,2.96,2.58,1.93,3.3635883,2.07710426,1.304473,0.7081125788123607,0.8098159509202454,6.992429542632875,6.992429542632875,9.917093,484.8055176451492,5.967646430204268
Ag3SBr,0.3987,0.8825000000000001,0.88,1.086666666666667,2.96,2.58,1.93,3.3635883,2.07710426,1.304473,0.7081125788123607,0.8098159509202454,4.921708553163221,4.980664014931041,4.825298,118.09093879361744,6.124830461748297
Ag3SBr,0.397699999999999,0.8825000000000001,0.88,1.086666666666667,2.96,2.58,1.93,3.3635883,2.07710426,1.304473,0.7081125788123607,0.8098159509202454,6.978889373061016,6.905923242362892,6.864160667407487,233.82701370779407,6.186513420416596
Ag3SI,0.3398,1.2733333333333334,0.88,1.086666666666667,2.66,2.58,1.93,3.059046537,2.07710426,1.304473,0.8486562942008488,0.8098159509202454,7.115597778248711,7.032828703346399,6.99099549283312,247.258550725043,6.4817422363222
Ag3SI,0.5478000000000001,1.2733333333333334,0.88,1.086666666666667,2.66,2.58,1.93,3.059046537,2.07710426,1.304473,0.8486562942008488,0.8098159509202454,4.957723769604353,4.957723769604353,4.957723388049196,121.85555000145258,6.576090262229425
Ag3SI,0.6242999999999991,1.2733333333333334,0.88,1.086666666666667,2.66,2.58,1.93,3.059046537,2.07710426,1.304473,0.8486562942008488,0.8098159509202454,5.009586,5.009586,5.009586,125.72032925181092,6.373934116559119
Ag3SI,0.167599999999999,1.2733333333333334,0.88,1.086666666666667,2.66,2.58,1.93,3.059046537,2.07710426,1.304473,0.8486562942008488,0.8098159509202454,4.892054,4.925177546739711,5.12078399032072,123.3438233881282,6.49674279385352
Ag3SI,0.256999999999999,1.2733333333333334,0.88,1.086666666666667,2.66,2.58,1.93,3.059046537,2.07710426,1.304473,0.8486562942008488,0.8098159509202454,10.15182147930119,7.093534040308399,7.010985411816373,244.0308376019067,6.567474042525697
Ag3SI,0.262399999999999,1.2733333333333334,0.88,1.086666666666667,2.66,2.58,1.93,3.059046537,2.07710426,1.304473,0.8486562942008488,0.8098159509202454,4.876098,5.020287,5.059902650794776,123.7565455921474,6.475076465078784
Ag3SI,0.3216,1.2733333333333334,0.88,1.086666666666667,2.66,2.58,1.93,3.059046537,2.07710426,1.304473,0.8486562942008488,0.8098159509202454,7.169073,4.912614,7.022944575786498,247.32376322424776,6.4800331785069645
