formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag
AcAlO3,3.85863387,3.85863387,3.85863387,4.1024,1.26,0.675,1.26,1.1,1.61,3.44,0.35,0.432835,1.461112979,0.9210223347916188,0.5357142857142857,57.4514132376898,8.728230081866649,1.8299999999999998,0.5357142857142857,0.0,0.6058140079561835,-1.8121406381548477,-0.03088461906805154,1
AcBO3,3.7216679999999993,3.7216679999999993,3.7216679999999993,0.8071,1.26,0.41,1.26,1.1,2.04,3.44,0.35,0.27972325,1.461112979,1.0671725855220255,0.3253968253968253,51.54812640786059,9.206878605801688,1.4,0.32539682539682535,0.0,0.6558010842331647,-1.9353526548294158,-0.00023025049298024675,1
AcCrO3,3.9442869,3.94430226,3.9442715,2.0031,1.26,0.94,1.26,1.1,1.66,3.44,0.35,0.67592827,1.461112979,0.8100810081008101,0.7460317460317459,61.36284504026082,8.848788046728616,1.78,0.7460317460317459,3.899311783489446e-06,0.6029017018024199,-1.7350855372442449,-0.05005905282151803,1
AcCuO3,3.91333125,3.91333125,3.91333125,0.0,1.26,0.82,1.26,1.1,1.9,3.44,0.35,1.235784,1.461112979,0.8568164508758569,0.6507936507936507,59.92938665681022,9.380470938074591,1.54,0.6507936507936507,0.0,0.5978066597202625,-1.7629358654869176,-0.04312645454582953,1
AcFeO3,3.95356962,3.953567500001287,3.953584510001286,0.9887999999999992,1.26,0.8525,1.26,1.1,1.83,3.44,0.35,0.15323635,1.461112979,0.8436346593239207,0.6765873015873016,61.79731063258672,8.889999465919495,1.6099999999999999,0.6765873015873016,2.344598558782531e-06,0.5843592030920378,-1.726736569222919,-0.05212859318545357,1
AcGaO3,3.94626209,3.94626209,3.94626209,2.895900000000001,1.26,0.76,1.26,1.1,1.81,3.44,0.35,0.30116615,1.461112979,0.8822664444662288,0.6031746031746031,61.455078293307366,9.31449500321555,1.63,0.6031746031746031,0.0,0.5753047743093632,-1.7333118780863521,-0.05049671479275602,1
AcMgO3,4.016262,4.016262,4.016262,0.0,1.26,0.86,1.26,1.1,1.31,3.44,0.35,-0.42,1.461112979,0.8406501027461237,0.6825396825396826,64.78375373225691,7.671748358584634,2.13,0.6825396825396826,0.0,0.5584876552659475,-1.67034122650623,-0.06616341366716769,1
AcMnO3,3.963021679999999,3.963021679999999,3.963021679999999,0.0,1.26,0.8775,1.26,1.1,1.55,3.44,0.35,-0.52,1.461112979,0.8337675872850443,0.6964285714285714,62.24139882978788,8.802373253340264,1.89,0.6964285714285714,0.0,0.5839667175969593,-1.7182352543804698,-0.05424768318383799,1
AcNiO3,3.87883955,3.87883649,3.87881202,0.0,1.26,0.74,1.26,1.1,1.91,3.44,0.35,1.1571612,1.461112979,0.8910891089108911,0.5873015873015873,58.35821779959113,9.494942767086055,1.53,0.5873015873015873,3.890059713352002e-06,0.6034115027575466,-1.793969467768853,-0.03541320446983758,1
AcPdO3,4.05520794,4.05520691,4.05520589,0.0,1.26,0.84625,1.26,1.1,2.2,3.44,0.35,0.5621412,1.461112979,0.8461380262655346,0.6716269841269841,66.68667373916479,9.497547055496376,1.2399999999999998,0.6716269841269841,2.52762457484035e-07,0.5406652231661805,-1.635306867214614,-0.07488034747875125,1
